OccurenceID,EventDate,scientificName,vernacularName,individualCount,DecimalLatitude,DecimalLongitude,app_used,collectionID,occurenceStatus,basisOfRecord,scientificNameID,footprintWKT
,2017-03-09 22:13:30+00:00,Eschrichtius robustus,Gray Whale,2,,,spotter_pro,10490,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-119.696084 34.391423)
188,2013-07-24 19:07:52+00:00,Balaenoptera musculus,Blue Whale,1,37.803268,-123.305735,spotter_pro,58,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137090,POINT (-123.305735 37.803268)
189,2013-07-24 19:08:58+00:00,Lagenorhynchus obliquidens,Pacific White-Sided Dolphin,1,37.80335,-123.30162,spotter_pro,58,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:254981,POINT (-123.30162 37.80335)
190,2013-07-25 17:38:47+00:00,Megaptera novaeangliae,Humpback Whale,1,37.72374,-123.232572,spotter_pro,59,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.232572 37.72374)
191,2013-07-25 18:13:53+00:00,Megaptera novaeangliae,Humpback Whale,2,37.724973,-123.23471,spotter_pro,59,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.23471 37.724973)
192,2013-07-25 18:48:53+00:00,Balaenoptera musculus,Blue Whale,1,37.724049,-123.157341,spotter_pro,59,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137090,POINT (-123.157341 37.724049)
193,2013-07-25 18:49:35+00:00,Megaptera novaeangliae,Humpback Whale,2,37.724048,-123.154776,spotter_pro,59,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.154776 37.724048)
194,2013-07-25 18:51:20+00:00,Megaptera novaeangliae,Humpback Whale,1,37.724246,-123.148694,spotter_pro,59,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.148694 37.724246)
195,2013-07-25 17:22:06+00:00,Megaptera novaeangliae,Humpback Whale,2,37.723149,-123.233422,spotter_pro,59,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.233422 37.723149)
196,2013-07-25 15:33:21+00:00,Megaptera novaeangliae,Humpback Whale,1,37.725223,-123.152567,spotter_pro,59,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.152567 37.725223)
197,2013-07-25 17:02:26+00:00,Orcinus orca,Killer Whale (Orca),5,37.728795,-123.244938,spotter_pro,59,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137102,POINT (-123.244938 37.728795)
198,2013-07-25 16:39:28+00:00,Megaptera novaeangliae,Humpback Whale,1,37.719156,-123.192821,spotter_pro,59,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.192821 37.719156)
201,2013-07-23 15:23:44+00:00,Grampus griseus,Risso's Dolphin,3,36.872084,-122.132864,spotter_pro,62,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137098,POINT (-122.132864 36.872084)
202,2013-07-23 18:08:47+00:00,Phocoena phocoena,Harbor Porpoise,3,37.661569,-122.654849,spotter_pro,62,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.654849 37.661569)
203,2013-07-23 18:16:06+00:00,Phocoena phocoena,Harbor Porpoise,1,37.694016,-122.6211,spotter_pro,62,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.6211 37.694016)
204,2013-07-23 18:41:50+00:00,Phocoena phocoena,Harbor Porpoise,2,37.808988,-122.490448,spotter_pro,62,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.490448 37.808988)
205,2013-07-23 18:31:01+00:00,Phocoena phocoena,Harbor Porpoise,1,37.761877,-122.551024,spotter_pro,62,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.551024 37.761877)
206,2013-07-23 18:27:14+00:00,Phocoena phocoena,Harbor Porpoise,1,37.744176,-122.569192,spotter_pro,62,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.569192 37.744176)
207,2013-07-23 15:11:40+00:00,Megaptera novaeangliae,Humpback Whale,2,36.819291,-122.079808,spotter_pro,62,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-122.079808 36.819291)
210,2013-07-27 14:46:09+00:00,Orcinus orca,Killer Whale (Orca),2,38.222062,-123.170734,spotter_pro,70,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137102,POINT (-123.170734 38.222062)
211,2013-07-27 15:11:21+00:00,Balaenoptera musculus,Blue Whale,1,38.148307,-123.317311,spotter_pro,70,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137090,POINT (-123.317311 38.148307)
212,2013-07-27 18:23:40+00:00,Megaptera novaeangliae,Humpback Whale,2,38.047586,-123.562692,spotter_pro,70,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.562692 38.047586)
213,2013-07-28 15:58:06+00:00,Phocoena phocoena,Harbor Porpoise,1,37.978466,-122.991817,spotter_pro,71,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.991817 37.978466)
214,2013-07-28 16:06:14+00:00,,Unidentified Whale,1,37.97857,-123.020965,spotter_pro,71,Certain,HumanObservation,,POINT (-123.020965 37.97857)
215,2013-07-28 15:38:09+00:00,Phocoena phocoena,Harbor Porpoise,1,37.97979,-122.928514,spotter_pro,71,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.928514 37.97979)
216,2013-07-28 15:28:43+00:00,Eschrichtius robustus,Gray Whale,1,37.980662,-122.894476,spotter_pro,71,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137112,POINT (-122.894476 37.980662)
217,2013-07-28 15:17:43+00:00,Phocoena phocoena,Harbor Porpoise,2,37.981503,-122.854776,spotter_pro,71,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.854776 37.981503)
218,2013-07-28 16:50:52+00:00,,Unidentified Whale,1,37.971763,-123.166735,spotter_pro,72,Certain,HumanObservation,,POINT (-123.166735 37.971763)
219,2013-07-28 18:52:13+00:00,Megaptera novaeangliae,Humpback Whale,1,37.993933,-123.455803,spotter_pro,72,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.455803 37.993933)
220,2013-07-28 18:31:43+00:00,Megaptera novaeangliae,Humpback Whale,1,37.964152,-123.494852,spotter_pro,72,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.494852 37.964152)
221,2013-07-28 17:09:23+00:00,,Unidentified Whale,1,37.970797,-123.204844,spotter_pro,72,Certain,HumanObservation,,POINT (-123.204844 37.970797)
222,2013-07-28 17:38:52+00:00,Phocoenoides dalli,Dali's Porpoise,7,37.96672,-123.307697,spotter_pro,72,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:254987),POINT (-123.307697 37.96672)
234,2013-08-04 15:44:11+00:00,Phocoena phocoena,Harbor Porpoise,1,37.823001,-122.467179,spotter_pro,75,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.467179 37.823001)
235,2013-08-04 17:20:28+00:00,,Unidentified Whale,1,37.749779,-122.826312,spotter_pro,75,Uncertain,HumanObservation,,POINT (-122.826312 37.749779)
236,2013-08-04 20:03:24+00:00,Megaptera novaeangliae,Humpback Whale,4,37.647355,-123.064932,spotter_pro,75,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.064932 37.647355)
237,2013-08-04 15:53:05+00:00,Phocoena phocoena,Harbor Porpoise,2,37.821339,-122.494961,spotter_pro,75,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.494961 37.821339)
238,2013-08-04 21:53:29+00:00,Phocoena phocoena,Harbor Porpoise,2,37.814587,-122.483913,spotter_pro,75,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.483913 37.814587)
239,2013-08-04 19:09:30+00:00,Phocoenoides dalli,Dali's Porpoise,4,37.67477,-123.06266,spotter_pro,75,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:254987),POINT (-123.06266 37.67477)
240,2013-08-09 20:10:09+00:00,Phocoena phocoena,Harbor Porpoise,2,37.817884,-122.539543,spotter_pro,76,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.539543 37.817884)
241,2013-08-09 15:52:10+00:00,Phocoena phocoena,Harbor Porpoise,1,37.814845,-122.519265,spotter_pro,76,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.519265 37.814845)
242,2013-08-09 15:48:02+00:00,Phocoena phocoena,Harbor Porpoise,1,37.818434,-122.500713,spotter_pro,76,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.500713 37.818434)
243,2013-08-09 15:47:27+00:00,Phocoena phocoena,Harbor Porpoise,1,37.818236,-122.498014,spotter_pro,76,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.498014 37.818236)
244,2013-08-09 20:19:41+00:00,Phocoena phocoena,Harbor Porpoise,3,37.817884,-122.539543,spotter_pro,76,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.539543 37.817884)
245,2013-08-09 18:15:18+00:00,Megaptera novaeangliae,Humpback Whale,4,37.817884,-122.539543,spotter_pro,76,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-122.539543 37.817884)
246,2013-08-09 15:50:07+00:00,Phocoena phocoena,Harbor Porpoise,1,37.816916,-122.509894,spotter_pro,76,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.509894 37.816916)
247,2013-08-09 20:18:04+00:00,Phocoena phocoena,Harbor Porpoise,1,37.817884,-122.539543,spotter_pro,76,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.539543 37.817884)
248,2013-08-09 15:58:08+00:00,Phocoena phocoena,Harbor Porpoise,1,37.817884,-122.539543,spotter_pro,76,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.539543 37.817884)
249,2013-08-09 20:19:06+00:00,Phocoena phocoena,Harbor Porpoise,1,37.817884,-122.539543,spotter_pro,76,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.539543 37.817884)
250,2013-08-09 20:18:12+00:00,Phocoena phocoena,Harbor Porpoise,1,37.817884,-122.539543,spotter_pro,76,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.539543 37.817884)
251,2013-08-09 15:49:51+00:00,Phocoena phocoena,Harbor Porpoise,1,37.817143,-122.508788,spotter_pro,76,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.508788 37.817143)
252,2013-08-09 20:10:38+00:00,Phocoena phocoena,Harbor Porpoise,1,37.817884,-122.539543,spotter_pro,76,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.539543 37.817884)
253,2013-08-09 15:49:19+00:00,Phocoena phocoena,Harbor Porpoise,1,37.817512,-122.506367,spotter_pro,76,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.506367 37.817512)
254,2013-08-09 15:52:18+00:00,Phocoena phocoena,Harbor Porpoise,1,37.814693,-122.519931,spotter_pro,76,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.519931 37.814693)
255,2013-08-10 15:49:31+00:00,Phocoena phocoena,Harbor Porpoise,1,37.801138,-122.503971,spotter_pro,77,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.503971 37.801138)
256,2013-08-10 15:51:23+00:00,Phocoena phocoena,Harbor Porpoise,2,37.80153,-122.511163,spotter_pro,77,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.511163 37.80153)
257,2013-08-10 22:05:56+00:00,Phocoena phocoena,Harbor Porpoise,2,37.81575,-122.484644,spotter_pro,77,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.484644 37.81575)
258,2013-08-10 17:49:26+00:00,Balaenoptera musculus,Blue Whale,1,37.747796,-122.935695,spotter_pro,77,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137090,POINT (-122.935695 37.747796)
259,2013-08-10 15:57:35+00:00,Phocoena phocoena,Harbor Porpoise,1,37.809963,-122.53261,spotter_pro,77,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.53261 37.809963)
260,2013-08-10 17:48:34+00:00,Megaptera novaeangliae,Humpback Whale,1,37.747638,-122.935686,spotter_pro,77,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-122.935686 37.747638)
261,2013-08-10 19:16:42+00:00,Megaptera novaeangliae,Humpback Whale,5,37.69945,-123.059762,spotter_pro,77,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.059762 37.69945)
262,2013-08-10 22:08:32+00:00,Megaptera novaeangliae,Humpback Whale,1,34.277518,-119.378791,spotter_pro,78,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.378791 34.277518)
263,2013-08-10 17:51:08+00:00,Megaptera novaeangliae,Humpback Whale,1,34.303717,-119.387927,spotter_pro,78,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.387927 34.303717)
264,2013-08-10 19:02:50+00:00,Balaenoptera acutorostrata,Minke Whale,1,34.206734,-119.389583,spotter_pro,78,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.389583 34.206734)
265,2013-08-10 16:23:51+00:00,Balaenoptera acutorostrata,Minke Whale,1,34.314259,-119.555383,spotter_pro,78,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.555383 34.314259)
266,2013-08-10 17:32:02+00:00,Megaptera novaeangliae,Humpback Whale,1,34.285078,-119.377377,spotter_pro,78,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.377377 34.285078)
269,2013-08-12 21:03:00+00:00,Phocoena phocoena,Harbor Porpoise,1,37.793991,-122.616401,spotter_pro,80,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.616401 37.793991)
270,2013-08-12 19:01:22+00:00,Lagenorhynchus obliquidens,Pacific White-Sided Dolphin,10,37.674355,-123.094108,spotter_pro,80,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:254981,POINT (-123.094108 37.674355)
271,2013-08-12 17:04:39+00:00,Phocoena phocoena,Harbor Porpoise,1,37.8296,-122.690471,spotter_pro,80,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.690471 37.8296)
272,2013-08-12 18:49:43+00:00,Megaptera novaeangliae,Humpback Whale,4,37.673522,-123.084887,spotter_pro,80,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.084887 37.673522)
273,2013-08-12 21:29:48+00:00,Phocoena phocoena,Harbor Porpoise,2,37.813524,-122.469499,spotter_pro,80,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.469499 37.813524)
274,2013-08-12 17:06:33+00:00,Phocoena phocoena,Harbor Porpoise,1,37.827477,-122.697944,spotter_pro,80,,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.697944 37.827477)
275,2013-08-12 21:25:31+00:00,Phocoena phocoena,Harbor Porpoise,2,37.813352,-122.492872,spotter_pro,80,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.492872 37.813352)
277,2013-08-15 17:56:26+00:00,Megaptera novaeangliae,Humpback Whale,1,37.681315,-123.046176,spotter_pro,82,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.046176 37.681315)
278,2013-08-15 18:50:38+00:00,Megaptera novaeangliae,Humpback Whale,1,37.687566,-123.002252,spotter_pro,82,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.002252 37.687566)
279,2013-08-15 16:31:18+00:00,Balaenoptera acutorostrata,Minke Whale,1,37.798659,-122.699249,spotter_pro,82,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-122.699249 37.798659)
280,2013-08-15 15:45:39+00:00,Phocoena phocoena,Harbor Porpoise,1,37.812008,-122.521914,spotter_pro,82,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.521914 37.812008)
281,2013-08-15 15:41:43+00:00,Phocoena phocoena,Harbor Porpoise,5,37.815568,-122.505282,spotter_pro,82,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.505282 37.815568)
282,2013-08-15 15:34:28+00:00,Phocoena phocoena,Harbor Porpoise,5,37.816035,-122.475031,spotter_pro,82,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.475031 37.816035)
283,2013-08-15 15:33:44+00:00,Phocoena phocoena,Harbor Porpoise,2,37.815364,-122.471891,spotter_pro,82,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.471891 37.815364)
284,2013-08-15 15:41:28+00:00,Phocoena phocoena,Harbor Porpoise,3,37.815835,-122.504188,spotter_pro,82,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.504188 37.815835)
285,2013-08-15 15:36:33+00:00,Phocoena phocoena,Harbor Porpoise,1,37.81798,-122.483714,spotter_pro,82,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.483714 37.81798)
286,2013-08-16 19:09:12+00:00,Phocoenoides dalli,Dali's Porpoise,6,37.674503,-123.074229,spotter_pro,83,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:254987),POINT (-123.074229 37.674503)
287,2013-08-16 20:58:32+00:00,Phocoena phocoena,Harbor Porpoise,2,37.808765,-122.497671,spotter_pro,83,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.497671 37.808765)
288,2013-08-16 20:54:18+00:00,Phocoena phocoena,Harbor Porpoise,1,37.805587,-122.520415,spotter_pro,83,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.520415 37.805587)
289,2013-08-16 20:52:04+00:00,Phocoena phocoena,Harbor Porpoise,1,37.803541,-122.531607,spotter_pro,83,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.531607 37.803541)
290,2013-08-16 16:08:27+00:00,Phocoena phocoena,Harbor Porpoise,2,37.821549,-122.489822,spotter_pro,83,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.489822 37.821549)
291,2013-08-16 20:30:16+00:00,Phocoena phocoena,Harbor Porpoise,2,37.771718,-122.643673,spotter_pro,83,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.643673 37.771718)
292,2013-08-16 20:37:24+00:00,Phocoena phocoena,Harbor Porpoise,1,37.780655,-122.605436,spotter_pro,83,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.605436 37.780655)
293,2013-08-17 19:49:18+00:00,Megaptera novaeangliae,Humpback Whale,2,37.654836,-123.08423,spotter_pro,84,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.08423 37.654836)
294,2013-08-17 15:22:59+00:00,Phocoena phocoena,Harbor Porpoise,1,37.813001,-122.412002,spotter_pro,84,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.412002 37.813001)
295,2013-08-17 15:36:47+00:00,Phocoena phocoena,Harbor Porpoise,1,37.816802,-122.456378,spotter_pro,84,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.456378 37.816802)
296,2013-08-18 22:00:53+00:00,Phocoena phocoena,Harbor Porpoise,1,37.805366,-122.534641,spotter_pro,85,Possible,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.534641 37.805366)
297,2013-08-18 21:45:04+00:00,Phocoena phocoena,Harbor Porpoise,3,37.787228,-122.612609,spotter_pro,85,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.612609 37.787228)
298,2013-08-18 21:49:23+00:00,Phocoena phocoena,Harbor Porpoise,1,37.792345,-122.590331,spotter_pro,85,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.590331 37.792345)
299,2013-08-18 18:56:03+00:00,Orcinus orca,Killer Whale (Orca),1,37.69486,-123.06897,spotter_pro,85,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137102,POINT (-123.06897 37.69486)
300,2013-08-18 20:02:34+00:00,Megaptera novaeangliae,Humpback Whale,1,37.689704,-123.131757,spotter_pro,85,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-123.131757 37.689704)
301,2013-08-18 15:51:52+00:00,Phocoena phocoena,Harbor Porpoise,2,37.822293,-122.484087,spotter_pro,85,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.484087 37.822293)
302,2013-08-18 16:06:34+00:00,Phocoena phocoena,Harbor Porpoise,1,37.813578,-122.524537,spotter_pro,85,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.524537 37.813578)
303,2013-08-18 15:46:25+00:00,Phocoena phocoena,Harbor Porpoise,1,37.815163,-122.469979,spotter_pro,85,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.469979 37.815163)
304,2013-08-18 22:03:04+00:00,Phocoena phocoena,Harbor Porpoise,1,37.807329,-122.524143,spotter_pro,85,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.524143 37.807329)
305,2013-08-18 15:42:47+00:00,Phocoena phocoena,Harbor Porpoise,1,37.815446,-122.457072,spotter_pro,85,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137117,POINT (-122.457072 37.815446)
306,2013-08-17 00:21:36+00:00,Delphinus capensis,Common Long-Beaked Dolphin,40,34.278211,-119.431215,spotter_pro,86,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.431215 34.278211)
307,2013-08-16 19:43:53+00:00,Grampus griseus,Risso's Dolphin,15,34.0936,-119.893876,spotter_pro,86,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137098,POINT (-119.893876 34.0936)
308,2013-08-16 17:20:45+00:00,Delphinus capensis,Common Long-Beaked Dolphin,100,34.165919,-119.423111,spotter_pro,86,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.423111 34.165919)
309,2013-08-16 23:49:36+00:00,Delphinus capensis,Common Long-Beaked Dolphin,100,34.305831,-119.513237,spotter_pro,86,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.513237 34.305831)
310,2013-08-16 17:56:43+00:00,Delphinus capensis,Common Long-Beaked Dolphin,200,34.114068,-119.524587,spotter_pro,86,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.524587 34.114068)
311,2013-08-16 21:12:13+00:00,Mirounga angustirostris,Northern Elephant Seal,12,34.070438,-120.361302,spotter_pro,86,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:255018,POINT (-120.361302 34.070438)
312,2013-08-16 17:50:54+00:00,Grampus griseus,Risso's Dolphin,2,34.113107,-119.518974,spotter_pro,86,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137098,POINT (-119.518974 34.113107)
313,2013-08-17 00:07:51+00:00,Balaenoptera acutorostrata,Minke Whale,1,34.284775,-119.451428,spotter_pro,86,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.451428 34.284775)
314,2013-08-16 17:38:41+00:00,Delphinus capensis,Common Long-Beaked Dolphin,100,34.132231,-119.487612,spotter_pro,86,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.487612 34.132231)
315,2013-08-22 14:03:30+00:00,Balaenoptera musculus,Blue Whale,1,34.430639,-119.68435,spotter_pro,87,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137090,POINT (-119.68435 34.430639)
316,2013-08-22 17:36:36+00:00,Balaenoptera acutorostrata,Minke Whale,1,34.368601,-119.572812,spotter_pro,88,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.572812 34.368601)
317,2013-08-22 19:25:35+00:00,Balaenoptera acutorostrata,Minke Whale,1,34.319785,-119.490986,spotter_pro,88,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.490986 34.319785)
318,2013-08-22 20:48:10+00:00,Delphinus capensis,Common Long-Beaked Dolphin,800,34.365621,-119.564884,spotter_pro,88,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.564884 34.365621)
319,2013-08-22 19:13:20+00:00,Delphinus capensis,Common Long-Beaked Dolphin,200,34.313012,-119.499942,spotter_pro,88,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.499942 34.313012)
320,2013-08-22 18:15:08+00:00,Delphinus capensis,Common Long-Beaked Dolphin,500,34.305884,-119.484781,spotter_pro,88,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.484781 34.305884)
321,2013-08-22 17:56:02+00:00,Balaenoptera acutorostrata,Minke Whale,2,34.359473,-119.534202,spotter_pro,88,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.534202 34.359473)
322,2013-08-22 18:33:27+00:00,Megaptera novaeangliae,Humpback Whale,2,34.305966,-119.48211,spotter_pro,88,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.48211 34.305966)
323,2013-08-22 19:55:38+00:00,Megaptera novaeangliae,Humpback Whale,1,34.291698,-119.416127,spotter_pro,88,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137092,POINT (-119.416127 34.291698)
324,2013-08-22 21:31:06+00:00,Delphinus capensis,Common Long-Beaked Dolphin,100,34.407615,-119.691608,spotter_pro,88,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.691608 34.407615)
325,2013-08-22 20:50:47+00:00,Balaenoptera acutorostrata,Minke Whale,2,34.3698,-119.569293,spotter_pro,88,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.569293 34.3698)
327,2013-08-24 19:47:55+00:00,Delphinus capensis,Common Long-Beaked Dolphin,1250,34.356179,-119.62501,spotter_pro,90,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.62501 34.356179)
328,2013-08-24 18:03:46+00:00,Balaenoptera acutorostrata,Minke Whale,1,34.333532,-119.50319,spotter_pro,90,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.50319 34.333532)
329,2013-08-24 18:13:40+00:00,Balaenoptera acutorostrata,Minke Whale,1,34.319739,-119.48099,spotter_pro,90,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.48099 34.319739)
330,2013-08-24 18:22:35+00:00,Balaenoptera acutorostrata,Minke Whale,2,34.322658,-119.487773,spotter_pro,90,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:137087,POINT (-119.487773 34.322658)
331,2013-08-24 17:31:42+00:00,Delphinus capensis,Common Long-Beaked Dolphin,35,34.376468,-119.613314,spotter_pro,90,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.613314 34.376468)
332,2013-08-24 18:03:18+00:00,Delphinus capensis,Common Long-Beaked Dolphin,500,34.334548,-119.503226,spotter_pro,90,Certain,HumanObservation,urn:lsid:marinespecies.org:taxname:383816,POINT (-119.503226 34.334548)
